Instance,Cities,Runs,Initial Temperature,Cooling Rate,Initialization,Greedy Cost,SA Best,SA Average,Improvement (%),Greedy Time (s),SA Average Time (s)
Test 1,10,5,100,0.995,Random,1429,1311,1311.0,8.26,5.461e-05,0.58962
Test 2,20,5,100,0.995,Random,2430,1583,1614.0,34.86,5.23e-05,0.600661
Test 3,50,5,100,0.995,Random,4049,2371,2464.2,41.44,0.0001746,0.630788
Test 4,100,5,100,0.995,Random,4289,3216,3543.8,25.02,0.00051933,0.954956
Test 5,200,5,100,0.995,Random,6156,5493,5689.8,10.77,0.00199429,1.543823
